name,year,director,writers,actors,types,regions,languages,dates,length,rating,rating_people,stars
熔炉 도가니,(2011),黄东赫,黄东赫/孔枝泳,孔刘/郑有美/金贤秀/郑仁絮/白承焕/张光/金民尚/林贤成/金周灵/严孝燮/全国焕/崔镇浩/金志映/严智星/许在浩/张素妍,剧情,韩国, 韩语,2011-09-22(韩国),125分钟,9.4,970506,71.5%/24.9%/3.3%/0.2%/0.1%
教父 The Godfather,(1972),弗朗西斯·福特·科波拉,马里奥·普佐/弗朗西斯·福特·科波拉,马龙·白兰度/阿尔·帕西诺/詹姆斯·肯恩/理查德·卡斯特尔诺/罗伯特·杜瓦尔/斯特林·海登/约翰·马利/理查德·康特/艾尔·勒提埃里/黛安·基顿/阿贝·维高达/塔莉娅·夏尔/吉亚尼·罗素/约翰·凯泽尔/鲁迪·邦德/兰尼·蒙大拿,剧情/犯罪,美国, 英语 / 意大利语 / 拉丁语,1972-03-15(纽约首映)/1972-03-24(美国),175 分钟,9.3,1016207,72.2%/22.7%/4.5%/0.4%/0.2%
触不可及 Intouchables,(2011),奥利维埃·纳卡什,奥利维埃·纳卡什/埃里克·托莱达诺,弗朗索瓦·克鲁塞/奥玛·希/安娜·勒尼/奥德雷·弗勒罗/约瑟芬娜·德·摩/克洛蒂尔德·莫莱特/阿尔芭·贝露琪/Cyril Mendy/萨丽马特·卡马特/Absa Diatou Toure/Grégoire Oestermann/Dominique Daguier/François Caron/Christian Ameri/托马·索利韦尔,剧情/喜剧,法国, 法语,2011-11-02(法国),112分钟,9.3,1179661,68.8%/26.8%/4.1%/0.3%/0.1%
当幸福来敲门 The Pursuit of Happyness,(2006),加布里埃莱·穆奇诺,斯蒂夫·康拉德,威尔·史密斯/贾登·史密斯/坦迪·牛顿/布莱恩·豪威 /詹姆斯·凯伦/丹·卡斯泰兰尼塔/柯特·富勒/塔卡尤·费舍尔/凯文·韦斯特/乔治·张/戴维·迈克尔·西尔弗曼/多米尼克·博夫/杰弗·卡伦/乔伊芙·拉文/斯科特·克拉斯,剧情/家庭/传记,美国, 英语 / 粤语,2008-01-17(中国大陆)/2020-07-20(中国大陆重映)/2006-12-15(美国),117分钟,9.2,1580401,64.8%/28.9%/5.7%/0.4%/0.2%
寻梦环游记 Coco,(2017),李·昂克里奇,阿德里安·莫利纳/马修·奥尔德里奇/李·昂克里奇/詹森·卡茨,安东尼·冈萨雷斯/盖尔·加西亚·贝纳尔/本杰明·布拉特/阿兰娜·乌巴赫/芮妮·维克托/杰米·卡米尔/阿方索·阿雷奥/赫伯特·西古恩萨/加布里埃尔·伊格莱西亚斯/隆巴多·博伊尔/安娜·奥菲丽亚·莫吉亚/娜塔丽·科尔多瓦/赛琳娜·露娜/爱德华·詹姆斯·奥莫斯/索菲亚·伊斯皮诺萨/卡拉·梅迪纳/黛娅娜·欧特里/路易斯·瓦尔德斯/布兰卡·阿拉切利/萨尔瓦多·雷耶斯/切奇·马林/奥克塔维·索利斯/约翰·拉森贝格,喜剧/动画/音乐/奇幻,美国, 英语 / 西班牙语,2017-11-24(中国大陆)/2020-07-20(中国大陆重映)/2017-11-22(美国),105分钟,9.1,1779593,62.4%/30.2%/6.8%/0.4%/0.2%
末代皇帝 The Last Emperor,(1987),贝纳尔多·贝托鲁奇,贝纳尔多·贝托鲁奇/马克·派普罗,尊龙/陈冲/邬君梅/彼得·奥图尔/英若诚/吴涛/黄自强/丹尼斯·邓/坂本龙一/马吉·汉/里克·扬/田川洋行/苟杰德/理查德·吴/皱缇格/陈凯歌/卢燕/蒋锡礽/陈述/鲍皓昕/黄文捷/邵茹贞/亨利·基/张良斌/梁冬/康斯坦丁·格雷戈里/黄汉琪/王涛/宋怀桂/蔡鸿翔/程淑艳/张天民,剧情/传记/历史,英国/意大利/中国大陆/法国, 英语 / 汉语普通话 / 日语,1987-10-04(东京国际电影节)/1987-10-23(意大利),163分钟,9.3,937619,70.6%/25.1%/3.9%/0.3%/0.1%
龙猫 となりのトトロ,(1988),宫崎骏,宫崎骏,日高范子/坂本千夏/糸井重里/岛本须美/北林谷荣/高木均/雨笠利幸/丸山裕子/广濑正志/鹫尾真知子/铃木玲子/千叶繁/龙田直树/鳕子/西村朋纮/石田光子/神代知衣/中村大树/水谷优子/平松晶子/大谷育江,动画/奇幻/冒险,日本, 日语,2018-12-14(中国大陆)/1988-04-16(日本),86分钟,9.2,1320323,64.4%/29.5%/5.8%/0.2%/0.1%
怦然心动 Flipped,(2010),罗伯·莱纳,罗伯·莱纳/安德鲁·沙因曼/文德琳·范·德拉安南,玛德琳·卡罗尔/卡兰·麦克奥利菲/瑞贝卡·德·莫妮/安东尼·爱德华兹/约翰·马奥尼/佩内洛普·安·米勒/艾丹·奎因/凯文·韦斯曼/摩根·莉莉/瑞安·克茨纳/吉莉安·普法夫/迈克尔·博萨/博·勒纳/杰奎琳·埃沃拉/泰勒·格鲁秀斯/艾莉·布莱恩特/阿什莉·泰勒/伊瑟尔·布罗萨德/科迪·霍恩/迈克尔·博尔顿/肖恩·哈珀/斯戴芬妮·斯考特/帕特丽夏·伦茨/马修·戈尔德/阿罗拉·凯瑟琳·史密斯/凯莉·唐纳利/索菲亚·撒高/米歇尔·梅斯默/斯科特·乔尔·吉兹基/罗德·迈尔斯/卡拉 帕西托/凯特琳·帕西托,剧情/喜剧/爱情,美国, 英语,2010-07-26(好莱坞首映)/2010-09-10(美国),90分钟,9.1,1910832,62.1%/30.4%/6.8%/0.5%/0.2%
活着,(1994),张艺谋,芦苇/余华,葛优/巩俐/姜武/牛犇/郭涛/张璐/倪大红/肖聪/董飞/刘天池/董立范/黄宗洛/刘燕瑾/李连义/杨同顺,剧情/家庭/历史,中国大陆/中国香港, 汉语普通话,1994-06-30(中国香港)/1994-05-17(戛纳电影节),132分钟,9.3,892422,70.3%/25.5%/3.9%/0.3%/0.1%
哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone,(2001),克里斯·哥伦布,史蒂夫·克洛夫斯/J·K·罗琳,丹尼尔·雷德克里夫/艾玛·沃森/鲁伯特·格林特/艾伦·瑞克曼/玛吉·史密斯/汤姆·费尔顿/伊恩·哈特/理查德·哈里斯/约翰·赫特/罗彼·考特拉尼/朱丽·沃特斯/邦妮·怀特/约翰·克里斯/肖恩·比格斯代夫,奇幻/冒险,美国/英国, 英语,2002-01-26(中国大陆)/2020-08-14(中国大陆重映)/2001-11-04(英国首映)/2001-11-16(美国),152分钟,9.2,1262952,65.7%/28.4%/5.6%/0.3%/0.1%
